Feature,1013588,1013589,1013590,1013591,1013592,1013593,1013594,1013595,1013596,1013597,1013598,1013599,1013600,1013601,1013602,1013603,1013604,1013605,1013606,1013607,1013608,1013609,1013612,1013613,1013615,1013616,1013617,1013625,1013626,1013627,1013628,1013631,1013632,1013633,1013634,1013635,1013636,1013637,1013640,1013641,1013642,1013643,1013644,1013645,1013646,1013647,1013648,1013649,1013650,1013651,1013676,1013677,1013678,1013679,1013680,1013681,1013682,1013683,1013684,1013685,1013686,1013687,1013688,1013689,1013690,1013691,1013692,1013693,1014555,1014704,1014705,1014706,1014707,1014708,1014709,1014710,1014711,1014712,1014713,1014714,1014715,1014716,1014717,1014718,1014719,1014720,1014721,1014722,1014723,1014727,1014728,1014729,1014730,1014731,1014732,1014733,1014734,1014735,1014738,1014739,1014740,1014741,1014742,1014743,1014744,1014745,1014746,1014747,1014748,1014749,1014750,1014751,1014752,1014753,1014754,1014755,1014756,1014757,1014758,1014759,1014760,1014761,1014762,1014763,1014764,1014765,1014766,1014767,1014768,1014769,1014770,1014771,1014772,1014773,1014774,1014775,1015330,1015331,1015332,1015333,1015334,1015335,1015336,1015337,1015338,1015339,1015340,1015341,1015342,1015343,1015344,1015345,1015346,1015347,1015348,1015349,1015350,1015351,1015352,1015353,1015354,1015355,1015356,1015357,1015358,1015359,1015360,1015361,1015362,1015363,1015368,1015369,1015370,1015371,1015372,1015373,1015374,1015375,1015376,1015377,1015378,1015379,1015380,1015381,1015382,1015383,1015384,1015385,1015386,1015387,1015388,1015389,1015390,1015391,1015392,1015393,1015394,1015395,1015396,1015397,1015398,1015399,1015400
高度(mm),2198,2198,2430,2445,2198,2198,2430,2445,2445,2445,2445,2445,2720,2700,2445,2445,2720,2720,2198,2198,2430,2445,2430,2700,2415,2415,2700,2198,2198,2430,2445,2720,2430,2700,2415,2415,2700,2720,2485,2485,2485,2485,2475,2475,2760,2760,2475,2475,2750,2760,2198,2198,2198,2430,2430,2430,2475,2475,2760,2760,2198,2198,2430,2445,2445,2700,2430,2700,2445,2198,2430,2198,2430,2445,2445,2445,2445,2445,2445,2415,2720,2415,2700,2198,2430,2198,2430,2198,2430,2198,2430,2445,2445,2445,2445,2445,2445,2700,2198,2430,2198,2430,2445,2445,2415,2720,2445,2445,2445,2445,2720,2700,2445,2720,2445,2445,2700,2700,2415,2700,2445,2445,2700,2700,2415,2700,2265,2265,2475,2475,2475,2475,2760,2760,2475,2760,2198,2198,2430,2445,2198,2198,2430,2445,2445,2445,2445,2445,2720,2700,2445,2720,2198,2198,2430,2430,2445,2445,2700,2700,2415,2700,2198,2198,2430,2430,2445,2445,2700,2700,2485,2485,2485,2485,2760,2760,2475,2475,2760,2198,2198,2430,2430,2265,2265,2475,2475,2265,2475,2475,2485,2760,2760,2475,2750,2218,2218,2430,2430,2445,2445,2700,2700
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4923,4923,4923,4923,4923,4923,4923,4923,5495,5495,5495,5495,5495,5495,5990,5990,5990,5990,4923,4923,4923,5495,4923,5495,5990,5990,5990,4923,4923,4923,5495,5990,4923,5495,5990,5990,5990,5990,5495,5495,5495,5495,5990,5990,5495,5495,5990,5990,5990,5990,4923,4923,4923,4923,4923,4923,5990,5990,5990,5990,4923,4923,4923,5495,5495,5495,4923,5495,5495,5015,5015,5015,5015,5495,5495,5495,5495,5495,5495,5990,5990,5990,5990,4923,4923,4923,4923,4923,4923,4923,4923,5495,5495,5495,5495,5495,5990,5990,5015,5015,5015,5015,5495,5495,5990,5990,5495,5495,5495,5495,5495,5495,5990,5990,5495,5495,5495,5495,5990,5990,5495,5495,5495,5495,5990,5990,4923,4923,4923,4923,5495,5495,5495,5495,5990,5990,4923,4923,4923,4923,4923,4923,4923,4923,5495,5495,5495,5495,5495,5495,5990,5990,4923,4923,4923,4923,5495,5495,5495,5495,5990,5990,4923,4923,4923,4923,5495,5495,5495,5495,5495,5495,5495,5495,5495,5495,5990,5990,5990,4923,4923,4923,4923,4923,4923,4923,4923,4923,4923,5495,5495,5495,5495,5990,5990,4923,4923,4923,4923,5495,5495,5495,5495
长*宽*高(mm),4923×2000×2198,4923×2000×2198,4923×2000×2430,4923×2000×2445,4923×2000×2198,4923×2000×2198,4923×2000×2430,4923×2000×2445,5495×2000×2445,5495×2000×2445,5495×2000×2445,5495×2000×2445,5495×2000×2720,5495×2000×2700,5990×2000×2445,5990×2000×2445,5990×2000×2720,5990×2000×2720,4923×2000×2198,4923×2000×2198,4923×2000×2430,5495×2000×2445,4923×2000×2430,5495×2000×2700,5990×2000×2415,5990×2000×2415,5990×2000×2700,4923×2000×2198,4923×2000×2198,4923×2000×2430,5495×2000×2445,5990×2000×2720,4923×2000×2430,5495×2000×2700,5990×2000×2415,5990×2000×2415,5990×2000×2700,5990×2000×2720,5495×2090×2485,5495×2090×2485,5495×2090×2485,5495×2090×2485,5990×2090×2475,5990×2090×2475,5495×2090×2760,5495×2090×2760,5990×2090×2475,5990×2090×2475,5990×2090×2750,5990×2090×2760,4923×2000×2198,4923×2000×2198,4923×2000×2198,4923×2000×2430,4923×2000×2430,4923×2000×2430,5990×2090×2475,5990×2090×2475,5990×2090×2760,5990×2090×2760,4923×2000×2198,4923×2000×2198,4923×2000×2430,5495×2000×2445,5495×2000×2445,5495×2000×2700,4923×2000×2430,5495×2000×2700,5495*2000*2445,5015*2000*2198,5015*2000*2430,5015*2000*2198,5015*2000*2430,5495*2000*2445,5495*2000*2445,5495*2000*2445,5495*2000*2445,5495*2000*2445,5495*2000*2445,5990*2000*2415,5990*2000*2720,5990*2000*2415,5990*2000*2700,4923*2000*2198,4923*2000*2430,4923*2000*2198,4923*2000*2430,4923*2000*2198,4923*2000*2430,4923*2000*2198,4923*2000*2430,5495*2000*2445,5495*2000*2445,5495*2000*2445,5495*2000*2445,5495*2000*2445,5990*2000*2445,5990*2000*2700,5015*2000*2198,5015*2000*2430,5015*2000*2198,5015*2000*2430,5495*2000*2445,5495*2000*2445,5990*2000*2415,5990*2000*2720,5495*2000*2445,5495*2000*2445,5495*2000*2445,5495*2000*2445,5495*2000*2720,5495*2000*2700,5990*2000*2445,5990*2000*2720,5495*2000*2445,5495*2000*2445,5495*2000*2700,5495*2000*2700,5990*2000*2415,5990*2000*2700,5495*2000*2445,5495*2000*2445,5495*2000*2700,5495*2000*2700,5990*2000*2415,5990*2000*2700,4923*2090*2265,4923*2090*2265,4923*2090*2475,4923*2090*2475,5495*2090*2475,5495*2090*2475,5495*2090*2760,5495*2090*2760,5990*2090*2475,5990*2090*2760,4923*2000*2198,4923*2000*2198,4923*2000*2430,4923*2000*2445,4923*2000*2198,4923*2000*2198,4923*2000*2430,4923*2000*2445,5495*2000*2445,5495*2000*2445,5495*2000*2445,5495*2000*2445,5495*2000*2720,5495*2000*2700,5990*2000*2445,5990*2000*2720,4923*2000*2198,4923*2000*2198,4923*2000*2430,4923*2000*2430,5495*2000*2445,5495*2000*2445,5495*2000*2700,5495*2000*2700,5990*2000*2415,5990*2000*2700,4923*2000*2198,4923*2000*2198,4923*2000*2430,4923*2000*2430,5495*2000*2445,5495*2000*2445,5495*2000*2700,5495*2000*2700,5495*2090*2485,5495*2090*2485,5495*2090*2485,5495*2090*2485,5495*2090*2760,5495*2090*2760,5990*2090*2475,5990*2090*2475,5990*2090*2760,4923*2000*2198,4923*2000*2198,4923*2000*2430,4923*2000*2430,4923*2090*2265,4923*2090*2265,4923*2090*2475,4923*2090*2475,4923*2090*2265,4923*2090*2475,5495*2090*2475,5495*2090*2485,5495*2090*2760,5495*2090*2760,5990*2090*2475,5990*2090*2750,4923*2000*2218,4923*2000*2218,4923*2000*2430,4923*2000*2430,5495*2000*2445,5495*2000*2445,5495*2000*2700,5495*2000*2700
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
